Order_ID;Order_Date;Ship_Date;Ship_Mode;Order_Priority
IR-2014-8540;9/18/14;9/21/14;First Class;Critical
US-2014-135013;7/25/14;7/25/14;Same Day;High
MZ-2013-3690;12/18/13;12/18/13;Same Day;High
IN-2012-66342;5/30/12;5/31/12;First Class;Critical
CA-2012-111829;3/19/12;3/20/12;First Class;High
IN-2012-48240;5/25/12;5/28/12;Second Class;Critical
IN-2014-61792;08/05/2014;08/06/2014;First Class;High
CA-2014-129021;8/24/14;8/27/14;Second Class;Medium
IN-2014-75470;03/11/2014;3/13/14;Second Class;High
CA-2012-114811;11/08/2012;11/08/2012;Same Day;Medium
ES-2014-4673578;08/11/2014;8/16/14;Second Class;Medium
IT-2013-3376681;8/31/13;09/03/2013;First Class;Critical
IN-2014-66615;1/18/14;1/23/14;Standard Class;High
CA-2013-143805;12/02/2013;12/04/2013;Second Class;Critical
IT-2014-4540740;12/07/2014;12/08/2014;First Class;High
IN-2014-11231;12/16/14;12/19/14;First Class;Critical
MX-2014-154907;11/20/14;11/20/14;Same Day;Critical
UP-2011-8610;11/09/2011;11/11/2011;First Class;Critical
IN-2013-40050;06/07/2013;06/09/2013;First Class;High
MX-2011-110275;11/22/11;11/23/11;First Class;Medium
CG-2013-6110;3/29/13;3/31/13;Second Class;High
IN-2014-30110;8/26/14;8/27/14;First Class;High
ES-2012-2058076;9/20/12;9/22/12;Second Class;High
IN-2014-51950;5/16/14;5/18/14;Second Class;Critical
CA-2012-145352;3/16/12;3/22/12;Standard Class;Medium
ES-2013-4670866;11/24/13;11/25/13;First Class;Critical
IN-2011-62506;11/09/2011;11/11/2011;Second Class;Medium
IN-2011-46413;10/28/11;10/28/11;Same Day;Critical
ES-2014-3785216;11/19/14;11/23/14;Standard Class;High
MO-2014-2000;10/28/14;10/30/14;Second Class;Medium
CA-2014-138289;1/17/14;1/19/14;Second Class;High
CA-2014-118892;8/18/14;8/23/14;Second Class;Medium
ES-2013-1434123;1/29/13;02/05/2013;Standard Class;Low
ID-2012-78207;9/18/12;9/21/12;Second Class;Critical
MO-2013-8630;11/23/13;11/23/13;Same Day;Medium
IN-2012-64774;6/13/12;6/13/12;Same Day;High
IN-2013-48765;10/28/13;10/31/13;First Class;Medium
IN-2013-69730;12/12/2013;12/14/13;First Class;High
US-2013-102239;05/06/2013;05/07/2013;First Class;Critical
ES-2013-3467296;12/02/2013;12/02/2013;Same Day;Critical
CA-2014-6550;12/23/14;12/25/14;Second Class;Critical
ID-2013-25742;1/28/13;1/30/13;First Class;High
IN-2012-86698;05/07/2012;05/07/2012;Same Day;High
ES-2013-2903666;11/27/13;11/29/13;First Class;High
IN-2012-30446;11/28/12;12/02/2012;Second Class;Medium
IT-2012-1779015;9/29/12;9/29/12;Same Day;Critical
ES-2013-3903130;09/03/2013;09/05/2013;Second Class;High
CG-2013-3470;7/26/13;08/01/2013;Standard Class;Low
IN-2014-13639;11/19/14;11/25/14;Standard Class;Low
ES-2012-2510515;6/19/12;6/19/12;Same Day;High
MX-2012-153157;10/11/2012;10/14/12;First Class;Medium
ES-2011-2585328;08/09/2011;08/11/2011;First Class;Critical
ES-2011-4500805;11/05/2011;11/09/2011;Second Class;High
CA-2014-107174;11/07/2014;11/14/14;Standard Class;Low
MX-2013-113824;4/26/13;4/28/13;First Class;High
IN-2013-45076;12/26/13;12/26/13;Same Day;High
IT-2013-5208514;3/13/13;3/13/13;Same Day;High
US-2013-107440;4/17/13;4/21/13;Standard Class;Medium
ES-2012-2314672;04/05/2012;04/05/2012;Same Day;High
ES-2012-4765389;12/26/12;12/28/12;Second Class;Critical
IN-2013-15368;4/18/13;4/19/13;First Class;Critical
IN-2011-18385;5/24/11;5/26/11;Second Class;High
CA-2012-149846;5/22/12;5/26/12;Standard Class;High
ES-2013-2757712;5/16/13;5/20/13;Second Class;High
CA-2011-106726;12/06/2011;12/08/2011;First Class;Critical
IT-2011-1978668;2/16/11;2/19/11;Second Class;Medium
IN-2013-63773;5/31/13;06/02/2013;First Class;Critical
IN-2013-10965;10/01/2013;10/02/2013;First Class;High
CA-2011-145541;12/14/11;12/21/11;Standard Class;Medium
CA-2013-117121;12/18/13;12/22/13;Standard Class;Medium
ID-2013-79432;12/11/2013;12/14/13;Second Class;Critical
IT-2014-4499061;3/18/14;3/21/14;Second Class;Critical
IN-2014-34226;12/19/14;12/20/14;First Class;Critical
CA-2011-136567;12/20/11;12/21/11;First Class;High
CA-2013-143714;5/24/13;5/28/13;Standard Class;Medium
CA-2011-151330;10/14/11;10/17/11;First Class;Critical
MX-2014-158386;9/18/14;9/18/14;Same Day;Critical
IN-2013-30663;11/25/13;11/27/13;First Class;Critical
IN-2013-77444;11/07/2013;11/10/2013;First Class;Critical
IN-2014-39077;7/19/14;7/23/14;Standard Class;High
ID-2012-60980;8/16/12;8/16/12;Same Day;High
CA-2013-128594;8/27/13;8/30/13;First Class;Critical
IN-2012-57025;01/11/2012;1/15/12;Standard Class;High
MX-2013-157868;1/28/13;1/30/13;First Class;Medium
ID-2012-66111;6/14/12;6/17/12;First Class;Critical
CA-2011-120474;12/01/2011;12/03/2011;First Class;High
CA-2013-100300;6/25/13;6/27/13;Second Class;High
MX-2012-164791;12/06/2012;12/08/2012;First Class;High
IT-2013-1350483;09/05/2013;09/07/2013;Second Class;High
SO-2014-4990;9/18/14;9/20/14;First Class;High
CA-2014-149559;09/12/2014;9/13/14;Same Day;Critical
IN-2012-30943;08/03/2012;08/08/2012;Standard Class;High
IN-2014-13324;12/09/2014;12/11/2014;First Class;High
IN-2012-46889;10/25/12;10/28/12;First Class;Critical
CA-2012-114069;7/13/12;7/15/12;Second Class;Critical
ID-2013-35640;8/27/13;8/29/13;Second Class;High
IN-2011-30292;5/13/11;5/17/11;Standard Class;High
IT-2011-3675195;11/03/2011;11/06/2011;First Class;High
ES-2014-2034971;08/02/2014;08/03/2014;First Class;Critical
ES-2011-1426891;9/20/11;9/22/11;Second Class;Critical
CA-2014-159366;01/08/2014;01/11/2014;First Class;Medium
IN-2013-14773;03/11/2013;3/15/13;Standard Class;High
ES-2012-4934238;02/02/2012;02/05/2012;First Class;High
CA-2013-108987;09/09/2013;09/11/2013;Second Class;Critical
MX-2014-111941;04/09/2014;4/13/14;Standard Class;High
US-2013-143819;03/02/2013;03/06/2013;Standard Class;Medium
MX-2014-152961;3/19/14;3/21/14;First Class;High
IN-2013-17041;10/02/2013;10/04/2013;First Class;High
ES-2013-4679331;01/12/2013;1/15/13;First Class;Medium
SA-2014-1270;8/20/14;8/25/14;Standard Class;Medium
IN-2014-12897;3/14/14;3/18/14;Standard Class;High
CA-2013-134887;3/26/13;3/26/13;Same Day;Critical
ID-2014-10076;07/09/2014;7/13/14;Standard Class;High
ID-2013-70122;06/11/2013;6/15/13;Standard Class;High
ES-2011-2257437;08/10/2011;8/17/11;Standard Class;Medium
ID-2014-63920;3/17/14;3/21/14;Standard Class;High
ID-2013-29564;01/02/2013;01/03/2013;First Class;Medium
CA-2013-108196;11/26/13;12/03/2013;Standard Class;Low
ID-2012-36403;10/10/2012;10/11/2012;First Class;High
CA-2014-127180;10/23/14;10/25/14;First Class;High
IN-2011-19351;6/17/11;6/19/11;First Class;High
ES-2014-5842530;04/03/2014;04/05/2014;First Class;High
MX-2011-137897;5/17/11;5/20/11;Second Class;High
BO-2014-8960;02/11/2014;2/15/14;Second Class;High
ES-2013-2220066;10/12/2013;10/12/2013;Same Day;Critical
CA-2011-127299;9/19/11;9/24/11;Standard Class;High
UP-2014-4500;7/17/14;7/19/14;Second Class;Critical
ES-2014-2440513;11/22/14;11/28/14;Standard Class;Low
IT-2011-5629016;5/30/11;06/02/2011;First Class;Critical
CA-2014-133263;04/01/2014;04/03/2014;Second Class;High
IN-2014-65488;7/17/14;7/20/14;First Class;Medium
ES-2014-5530354;8/29/14;09/03/2014;Standard Class;Medium
IN-2012-23782;12/26/12;12/26/12;Same Day;Critical
ID-2013-31720;05/01/2013;05/04/2013;Second Class;Critical
ES-2011-1712442;8/16/11;8/21/11;Standard Class;Medium
IN-2014-78900;12/03/2014;12/07/2014;Standard Class;High
IN-2013-37803;6/25/13;6/29/13;Standard Class;High
ES-2013-3939561;1/21/13;1/24/13;Second Class;Medium
CA-2013-138478;10/22/13;10/27/13;Second Class;Medium
IN-2014-56808;07/12/2014;7/14/14;Second Class;Critical
US-2013-116729;12/26/13;12/29/13;First Class;Medium
ES-2014-1972860;09/01/2014;09/01/2014;Same Day;Critical
CA-2011-119375;11/17/11;11/22/11;Standard Class;High
IN-2011-64326;06/07/2011;06/11/2011;Second Class;Medium
ES-2011-3259196;10/13/11;10/13/11;Same Day;Critical
IN-2013-48184;06/10/2013;06/10/2013;Same Day;Critical
IN-2014-77017;12/13/14;12/17/14;Standard Class;Medium
CA-2014-150091;10/13/14;10/17/14;Standard Class;High
ID-2014-31363;06/10/2014;06/11/2014;First Class;High
SF-2011-6380;2/15/11;2/16/11;First Class;Critical
ES-2013-1692384;11/28/13;12/04/2013;Standard Class;Low
CA-2014-165323;6/18/14;6/22/14;Standard Class;High
CA-2013-168354;9/20/13;9/22/13;First Class;High
US-2011-158554;08/09/2011;08/09/2011;Same Day;High
CA-2011-141796;6/21/11;6/21/11;Same Day;Critical
IN-2012-12162;08/02/2012;08/04/2012;First Class;High
CA-2012-113404;7/16/12;7/16/12;Same Day;Critical
IR-2013-8520;08/02/2013;08/02/2013;Same Day;Critical
IN-2014-68463;5/22/14;5/25/14;Second Class;Critical
ID-2011-64599;02/10/2011;2/15/11;Standard Class;Medium
ES-2013-4632541;9/27/13;9/27/13;Same Day;Critical
IN-2014-23761;06/02/2014;06/04/2014;First Class;Critical
IN-2013-16964;9/30/13;10/03/2013;First Class;Critical
IN-2011-76989;7/19/11;7/20/11;First Class;High
RS-2014-4620;8/14/14;8/16/14;Second Class;Medium
CA-2013-147417;7/26/13;7/28/13;First Class;Critical
IN-2014-61393;10/31/14;11/03/2014;First Class;High
IN-2013-13891;7/25/13;7/30/13;Standard Class;Medium
IN-2014-32770;10/07/2014;10/11/2014;Standard Class;High
IN-2014-14780;10/17/14;10/21/14;Standard Class;High
IN-2013-71585;12/03/2013;12/06/2013;Second Class;Critical
IN-2014-20485;11/08/2014;11/10/2014;First Class;High
IT-2011-4771701;9/21/11;9/23/11;Second Class;Critical
IT-2011-2876489;6/21/11;6/24/11;First Class;High
CA-2014-133865;05/09/2014;5/13/14;Standard Class;High
CA-2014-158379;9/23/14;9/27/14;Second Class;Medium
SF-2014-2330;11/26/14;11/29/14;Second Class;Critical
EG-2012-4640;3/30/12;04/01/2012;First Class;Critical
MX-2011-138002;11/10/2011;11/15/11;Second Class;Medium
US-2014-102183;8/22/14;8/29/14;Standard Class;Medium
ES-2012-5113958;08/01/2012;08/06/2012;Second Class;Medium
CA-2014-120376;12/23/14;12/26/14;First Class;High
CA-2014-168109;07/04/2014;07/04/2014;Same Day;High
CA-2014-111556;11/21/14;11/23/14;First Class;Critical
AJ-2013-2640;1/23/13;1/27/13;Standard Class;High
IN-2011-67651;5/21/11;5/25/11;Second Class;High
ES-2014-4957212;9/28/14;10/01/2014;First Class;High
IT-2011-3528798;11/06/2011;11/08/2011;First Class;Critical
LH-2014-5390;1/28/14;1/30/14;Second Class;High
IN-2014-32588;9/13/14;9/19/14;Standard Class;Medium
CA-2012-137113;12/01/2012;12/05/2012;Second Class;High
US-2011-161760;12/22/11;12/24/11;First Class;High
EG-2013-4530;02/05/2013;02/07/2013;Second Class;Critical
IN-2011-51964;12/28/11;12/29/11;First Class;Critical
CA-2013-122903;5/28/13;5/30/13;Second Class;High
LT-2011-270;4/27/11;4/30/11;First Class;High
IN-2011-86278;10/06/2011;10/11/2011;Standard Class;High
ID-2013-17055;8/24/13;8/26/13;Second Class;Critical
MX-2013-151764;9/21/13;9/24/13;Second Class;Critical
MX-2014-124744;12/17/14;12/19/14;First Class;Critical
US-2011-106992;9/19/11;9/21/11;Second Class;Medium
CA-2011-117639;5/21/11;5/25/11;Standard Class;High
MX-2014-140305;06/03/2014;06/07/2014;Standard Class;High
MX-2014-113845;09/12/2014;9/14/14;First Class;Critical
IN-2014-61932;4/17/14;4/17/14;Same Day;Critical
ES-2012-4589770;11/21/12;11/24/12;Second Class;Critical
ES-2014-1331794;03/06/2014;03/08/2014;First Class;Critical
ES-2012-4621754;7/23/12;7/28/12;Standard Class;High
ID-2014-41191;11/07/2014;11/09/2014;First Class;High
MX-2014-128405;11/22/14;11/24/14;First Class;Critical
ES-2011-1858721;06/11/2011;6/14/11;First Class;High
MX-2012-168865;9/14/12;9/19/12;Standard Class;High
IN-2011-52279;11/25/11;11/25/11;Same Day;Critical
IN-2012-14724;08/10/2012;08/12/2012;First Class;High
ES-2013-3042991;3/20/13;3/23/13;Second Class;High
LT-2013-3900;12/30/13;01/04/2014;Standard Class;Medium
IN-2012-18518;10/04/2012;10/09/2012;Standard Class;High
IT-2012-4058325;08/06/2012;08/07/2012;First Class;Critical
IN-2012-42220;10/02/2012;10/02/2012;Same Day;High
IN-2014-17972;3/26/14;3/29/14;First Class;Critical
MX-2014-151554;11/21/14;11/21/14;Same Day;High
IT-2011-3270900;11/30/11;12/01/2011;First Class;Critical
CA-2012-123113;11/23/12;11/27/12;Second Class;Medium
RO-2012-9480;12/06/2012;12/06/2012;Same Day;High
MX-2013-109981;12/03/2013;12/04/2013;First Class;High
MX-2012-130351;12/20/12;12/24/12;Standard Class;High
MX-2012-135076;9/13/12;9/15/12;Second Class;Medium
CA-2013-114972;11/04/2013;11/07/2013;First Class;Critical
CA-2013-146633;11/16/13;11/18/13;Second Class;Critical
CA-2013-110499;04/08/2013;04/10/2013;First Class;High
TU-2012-2690;5/23/12;5/26/12;First Class;High
CA-2014-166709;11/18/14;11/23/14;Standard Class;Medium
SG-2014-9460;4/14/14;4/17/14;Second Class;Medium
MX-2014-164217;8/29/14;09/02/2014;Standard Class;High
ID-2014-80657;5/16/14;5/18/14;Second Class;High
CM-2012-6440;12/13/12;12/15/12;First Class;Critical
ES-2011-5287434;3/31/11;04/04/2011;Standard Class;High
IN-2012-79439;02/04/2012;02/08/2012;Second Class;Medium
IN-2013-58929;5/29/13;06/01/2013;Second Class;Medium
IT-2012-2646674;8/29/12;09/01/2012;First Class;Critical
IN-2011-63577;6/15/11;6/17/11;First Class;Critical
IN-2014-16068;8/28/14;8/31/14;First Class;Medium
MX-2011-150973;10/27/11;10/28/11;First Class;Critical
RS-2014-4120;3/19/14;3/23/14;Second Class;Medium
MX-2014-154935;09/11/2014;9/18/14;Standard Class;Low
ID-2012-83604;8/28/12;8/28/12;Same Day;Critical
US-2014-117723;8/16/14;8/19/14;Second Class;High
IN-2013-81112;08/01/2013;08/04/2013;Second Class;Critical
CA-2013-147368;06/10/2013;6/13/13;First Class;Critical
SF-2014-3560;12/24/14;12/27/14;First Class;Medium
CA-2012-147830;12/15/12;12/18/12;First Class;High
ES-2012-1439357;2/23/12;2/26/12;First Class;High
IN-2014-16054;10/11/2014;10/13/14;Second Class;Critical
US-2014-148817;4/21/14;4/23/14;Second Class;Critical
IN-2013-50809;06/12/2013;6/17/13;Standard Class;Medium
ES-2013-1211534;9/17/13;9/20/13;First Class;High
IN-2014-81154;9/19/14;9/19/14;Same Day;Critical
IT-2014-2009199;11/26/14;12/03/2014;Standard Class;Medium
IN-2014-51432;6/20/14;6/26/14;Standard Class;Low
HU-2014-7310;10/23/14;10/25/14;First Class;High
IN-2011-26176;8/16/11;8/20/11;Standard Class;Medium
CA-2012-102491;8/24/12;8/28/12;Standard Class;High
ES-2014-5345830;1/14/14;1/16/14;First Class;High
ID-2014-58271;11/13/14;11/15/14;Second Class;Critical
ID-2013-57949;6/13/13;6/13/13;Same Day;High
US-2012-128587;12/24/12;12/30/12;Standard Class;Medium
IN-2014-68750;9/22/14;9/25/14;Second Class;Critical
AO-2011-1670;01/08/2011;1/13/11;Standard Class;High
CA-2013-118689;10/03/2013;10/10/2013;Standard Class;Medium
IN-2013-42535;7/30/13;7/30/13;Same Day;Critical
IN-2014-27947;4/30/14;05/04/2014;Standard Class;Medium
MX-2011-158204;9/28/11;9/30/11;Second Class;High
IN-2014-56206;6/24/14;6/28/14;Standard Class;Medium
IT-2011-3316894;04/06/2011;04/08/2011;First Class;High
IT-2014-2819680;08/07/2014;08/09/2014;Second Class;Critical
US-2013-138408;11/19/13;11/22/13;Second Class;Critical
ES-2014-2179863;2/14/14;2/16/14;First Class;Critical
US-2014-110576;11/29/14;12/03/2014;Standard Class;High
RO-2012-8470;8/17/12;8/19/12;Second Class;Critical
CA-2012-111514;8/31/12;09/02/2012;First Class;High
MX-2012-157987;08/07/2012;08/08/2012;First Class;High
US-2014-105935;1/27/14;02/01/2014;Standard Class;High
CA-2011-139892;09/08/2011;09/12/2011;Standard Class;Medium
IN-2012-45825;08/09/2012;08/11/2012;First Class;Critical
ID-2013-58642;2/21/13;2/22/13;First Class;High
ID-2012-65411;7/18/12;7/19/12;First Class;High
CA-2011-144624;11/19/11;11/23/11;Standard Class;High
ES-2014-4032097;04/09/2014;04/12/2014;First Class;Critical
ES-2012-4108483;6/18/12;6/20/12;Second Class;Medium
ES-2013-5810502;12/31/13;01/02/2014;First Class;High
CA-2014-138149;6/30/14;07/01/2014;First Class;High
IT-2012-3796476;1/16/12;1/18/12;First Class;High
CG-2012-8310;06/12/2012;6/14/12;First Class;Medium
IN-2014-39735;3/17/14;3/22/14;Second Class;Medium
ES-2012-4272278;11/13/12;11/17/12;Standard Class;High
CA-2013-107104;11/27/13;12/01/2013;Standard Class;Medium
CA-2012-156104;12/06/2012;12/08/2012;Second Class;Critical
ES-2014-4856325;5/16/14;5/19/14;First Class;High
CA-2014-145219;12/25/14;12/26/14;First Class;Critical
MX-2014-120026;12/22/14;12/24/14;First Class;High
ID-2013-12295;9/14/13;9/14/13;Same Day;Medium
ID-2013-10636;01/07/2013;1/13/13;Standard Class;Medium
ES-2014-5554891;6/27/14;6/27/14;Same Day;Critical
ES-2012-5464624;7/13/12;7/16/12;Second Class;Critical
IN-2014-59426;02/11/2014;02/11/2014;Same Day;Critical
IN-2014-59202;5/29/14;06/05/2014;Standard Class;Low
IN-2014-44257;4/16/14;4/18/14;Second Class;High
ES-2014-3860822;11/27/14;11/29/14;First Class;Critical
IN-2011-23530;11/09/2011;11/11/2011;First Class;Critical
ES-2014-5991471;9/18/14;9/18/14;Same Day;High
MX-2014-127656;2/24/14;2/27/14;First Class;High
MX-2013-154886;09/03/2013;09/05/2013;First Class;Critical
IN-2013-36963;12/23/13;12/25/13;First Class;Critical
GH-2014-6410;6/17/14;6/19/14;First Class;Critical
ID-2014-41597;3/15/14;3/17/14;Second Class;High
IN-2014-47449;07/12/2014;7/13/14;First Class;Medium
ES-2014-4622860;06/09/2014;06/12/2014;First Class;Critical
ES-2014-2538638;10/15/14;10/17/14;Second Class;Critical
IN-2014-32084;08/06/2014;08/09/2014;Second Class;High
ES-2012-3954494;12/07/2012;12/07/2012;Same Day;High
ID-2012-79551;12/25/12;12/28/12;Second Class;Medium
IR-2013-1770;6/17/13;6/18/13;First Class;Medium
IN-2014-13597;11/03/2014;11/07/2014;Standard Class;Medium
ES-2012-5967582;5/28/12;5/31/12;First Class;Critical
ES-2013-1215823;8/17/13;8/20/13;Second Class;Critical
UP-2011-5440;06/03/2011;06/05/2011;First Class;Critical
IT-2011-1646767;7/14/11;7/15/11;First Class;Critical
CA-2011-122931;9/29/11;10/03/2011;Standard Class;High
ES-2011-3805636;10/17/11;10/24/11;Standard Class;Low
IN-2011-40155;11/14/11;11/20/11;Standard Class;Medium
ES-2014-5084020;7/14/14;7/18/14;Second Class;High
MX-2014-108532;06/03/2014;06/05/2014;First Class;High
IN-2014-74847;12/15/14;12/17/14;Second Class;High
MZ-2014-140;6/28/14;6/28/14;Same Day;Critical
US-2014-154487;12/20/14;12/24/14;Standard Class;High
IN-2012-72964;02/06/2012;02/09/2012;First Class;Critical
MX-2011-146584;1/21/11;1/27/11;Standard Class;Low
MX-2012-144848;08/03/2012;08/05/2012;First Class;Medium
ID-2014-27163;10/27/14;10/31/14;Second Class;High
IN-2012-26274;2/27/12;03/04/2012;Standard Class;Medium
IR-2012-660;06/11/2012;06/12/2012;First Class;Critical
IN-2011-44901;2/23/11;2/26/11;First Class;High
CA-2014-152975;9/15/14;9/17/14;First Class;High
MX-2013-123463;7/20/13;7/27/13;Standard Class;Low
MX-2013-165064;3/29/13;04/01/2013;Second Class;High
IN-2014-48261;10/23/14;10/25/14;First Class;Critical
MX-2014-126711;6/24/14;6/26/14;Second Class;High
MX-2013-141474;10/30/13;11/05/2013;Standard Class;Low
IN-2013-20177;05/04/2013;05/06/2013;First Class;High
CA-2014-141733;05/08/2014;05/12/2014;Standard Class;High
ZA-2011-8980;09/08/2011;09/10/2011;Second Class;Critical
ES-2012-2183106;4/22/12;4/26/12;Standard Class;Medium
SF-2013-9730;10/30/13;11/04/2013;Second Class;High
IN-2011-74490;4/16/11;4/17/11;First Class;High
CA-2012-102281;10/12/2012;10/14/12;First Class;Critical
CA-2014-120138;5/26/14;5/26/14;Same Day;Critical
IN-2014-10979;10/31/14;11/04/2014;Standard Class;Medium
IN-2013-72740;04/12/2013;4/14/13;First Class;Critical
IN-2013-15277;11/11/2013;11/11/2013;Same Day;Critical
IT-2012-2619984;10/13/12;10/17/12;Standard Class;High
ID-2012-81056;10/13/12;10/16/12;Second Class;Critical
IN-2014-27303;1/30/14;02/03/2014;Standard Class;High
CG-2012-6760;10/12/2012;10/16/12;Second Class;Medium
CA-2013-114489;12/06/2013;12/10/2013;Standard Class;High
CA-2014-160885;12/03/2014;12/07/2014;Standard Class;High
ID-2013-69345;9/19/13;9/23/13;Standard Class;High
MX-2012-122756;12/31/12;01/05/2013;Standard Class;High
ES-2014-4107155;12/29/14;12/31/14;Second Class;High
MX-2013-147844;11/15/13;11/19/13;Standard Class;High
CA-2011-116246;09/12/2011;9/17/11;Second Class;Medium
CA-2014-143686;5/15/14;5/15/14;Same Day;High
ID-2014-27765;09/08/2014;09/11/2014;First Class;Medium
ES-2013-5135305;6/17/13;6/19/13;First Class;High
MX-2011-131478;12/08/2011;12/08/2011;Same Day;High
IN-2014-57837;9/19/14;9/21/14;Second Class;High
CA-2013-133711;11/27/13;11/30/13;First Class;Medium
IZ-2014-7800;02/10/2014;2/14/14;Standard Class;High
ES-2014-1107818;02/08/2014;02/11/2014;First Class;High
ID-2013-60896;08/05/2013;08/07/2013;First Class;Critical
IR-2014-890;4/15/14;4/18/14;First Class;Critical
CA-2011-163223;3/21/11;3/25/11;Standard Class;Medium
IN-2014-16887;05/05/2014;05/07/2014;Second Class;High
ES-2013-1525878;11/04/2013;11/06/2013;Second Class;Critical
ES-2014-3691479;06/10/2014;06/12/2014;First Class;Medium
ES-2012-3533091;8/31/12;09/02/2012;Second Class;Critical
IN-2013-72390;6/20/13;6/22/13;Second Class;Critical
HU-2014-960;8/23/14;8/28/14;Standard Class;Medium
US-2012-110436;5/28/12;5/29/12;First Class;Critical
LI-2014-5380;5/19/14;5/21/14;Second Class;Critical
SF-2013-8920;4/29/13;4/30/13;First Class;Critical
MX-2014-117051;10/12/2014;10/15/14;First Class;High
MX-2014-133830;4/15/14;4/17/14;First Class;Critical
ES-2014-3540255;11/28/14;12/03/2014;Standard Class;High
GG-2012-8530;05/11/2012;5/13/12;Second Class;High
IN-2013-60546;6/18/13;6/24/13;Standard Class;Medium
IN-2012-44278;05/04/2012;05/06/2012;Second Class;High
IN-2011-35178;11/11/2011;11/15/11;Standard Class;Medium
ES-2014-2421154;12/24/14;12/24/14;Same Day;Medium
MX-2014-123512;5/15/14;5/19/14;Standard Class;High
PL-2014-9210;12/09/2014;12/12/2014;First Class;High
IN-2011-43375;12/07/2011;12/11/2011;Standard Class;High
IT-2013-4559122;09/10/2013;9/15/13;Second Class;Medium
AL-2011-7440;03/03/2011;03/05/2011;Second Class;High
ID-2012-39903;01/02/2012;01/06/2012;Standard Class;High
ID-2012-48639;10/30/12;11/03/2012;Standard Class;Medium
IN-2013-42864;11/19/13;11/19/13;Same Day;High
RS-2013-7430;8/15/13;8/17/13;Second Class;Medium
IN-2013-41975;06/08/2013;06/08/2013;Same Day;High
IN-2014-78725;10/02/2014;10/06/2014;Standard Class;High
ES-2014-4089082;2/27/14;03/03/2014;Standard Class;High
IN-2013-11938;10/31/13;11/04/2013;Standard Class;Medium
IN-2013-34170;12/18/13;12/25/13;Standard Class;Medium
IN-2014-53427;05/09/2014;5/15/14;Standard Class;Low
