Order;Customer;Product;Sales_Value;Quantity_Sold;Shipping_Cost
ID-2012-36403;SW-20245;TEC-PH-10001699;2645376;5;451.03
CA-2014-127180;TA-21385;TEC-PH-10001494;23996;8;449.45
IN-2011-19351;BW-11110;FUR-TA-10001889;3238305;5;449.18
ES-2014-5842530;YC-21895;FUR-BO-10000490;2291814;7;448.91
MX-2011-137897;JM-15580;TEC-PH-10000018;21245;5;447.66
BO-2014-8960;MZ-7335;FUR-HON-10003533;275778;6;446.33
ES-2013-2220066;JF-15295;TEC-AC-10001949;154998;6;443.92
CA-2011-127299;JL-15835;TEC-MA-10001127;2624985;3;443.69
UP-2014-4500;DJ-3510;OFF-HOO-10004910;31464;6;443.55
ES-2014-2440513;MF-18250;TEC-MA-10001335;2456619;11;442.49
IT-2011-5629016;TC-21295;FUR-TA-10000347;22286355;7;440.25
CA-2014-133263;JE-15610;TEC-CO-10001449;299995;5;439.69
IN-2014-65488;CP-12340;OFF-AP-10002090;400104;8;439.65
ES-2014-5530354;EH-14125;TEC-PH-10000493;4876875;9;439.41
IN-2012-23782;NC-18340;FUR-TA-10003596;1788822;6;439.03
IN-2014-37320;BF-11005;OFF-AP-10002244;362229;7;438.89
ID-2013-31720;JS-16030;FUR-TA-10003179;1242585;5;437.85
ES-2011-1712442;AM-10360;TEC-PH-10001396;445305;7;433.41
IN-2014-78900;JF-15190;FUR-TA-10003078;267336;8;432.57
IN-2013-37803;AB-10015;FUR-CH-10003581;2046195;5;432.15
ES-2013-3939561;JG-15160;FUR-TA-10000184;54513;6;432.13
CA-2013-138478;DP-13390;OFF-BI-10001120;4535976;3;431.68
IN-2014-56808;AG-10330;OFF-AP-10001956;17222832;4;430.04
US-2013-116729;GK-14620;TEC-PH-10002200;2575944;7;429.66
ES-2014-1972860;NF-18475;OFF-AP-10003382;1007424;2;428.83
CA-2011-119375;YC-21895;OFF-ST-10002011;293433;7;428.8
IN-2011-64326;DR-12940;OFF-AP-10003917;462429;9;427.46
ES-2011-3259196;NB-18655;OFF-ST-10002900;1066446;6;427.24
IN-2013-48184;NM-18445;TEC-CO-10003819;9576;4;427.1
IN-2014-77017;TA-21385;OFF-AP-10000675;486432;10;426.09
CA-2014-150091;NP-18670;FUR-BO-10003404;21549;5;426.05
ID-2014-31363;SC-20380;OFF-AP-10001824;14338395;3;424.81
SF-2011-6380;PA-9060;OFF-SME-10000746;27846;14;422.25
ES-2013-1692384;RB-19570;FUR-BO-10004999;306327;7;419.38
CA-2014-165323;SR-20740;TEC-MA-10003673;34045;5;419.06
CA-2013-168354;RH-19510;OFF-ST-10001490;160623;9;418.26
US-2011-158554;LH-16750;TEC-PH-10004196;20448;6;417.99
CA-2011-141796;JG-15160;TEC-PH-10001578;121485;3;417.47
IN-2012-12162;KB-16585;TEC-CO-10000208;1521;4;416.74
ES-2012-2510515;LH-17155;OFF-AP-10002330;2443905;5;416.33
CA-2012-113404;EM-13810;FUR-CH-10003312;1348704;6;415.69
IR-2013-8520;MZ-7515;TEC-EPS-10000053;11418;10;415.01
IN-2014-68463;DM-13345;OFF-ST-10004060;186597;9;413.95
ID-2011-64599;CA-11965;TEC-PH-10000303;699864;11;413.8
ES-2013-4632541;SC-20305;FUR-BO-10002708;109125;3;411.64
IN-2014-23761;MH-18115;FUR-BO-10000210;109422;3;411.06
IN-2013-16964;KS-16300;FUR-BO-10001192;1320624;4;410.88
IN-2011-76989;BG-11740;TEC-PH-10004664;255564;4;410.22
RS-2014-4620;CR-2625;FUR-SAU-10002255;349872;8;410.05
CA-2013-147417;CB-12415;TEC-CO-10001449;1439976;4;408.79
IN-2014-61393;DK-13090;TEC-CO-10001954;227286;6;406.53
IN-2013-13891;JL-15835;TEC-PH-10003002;521112;8;404.97
IN-2014-32770;AP-10720;TEC-PH-10003856;258216;4;404.08
IN-2014-14780;CR-12820;TEC-PH-10004664;319455;5;403.97
IN-2013-71585;BF-11080;FUR-CH-10000974;1704996;4;403.46
IN-2014-20485;JM-15265;OFF-AP-10003866;1538721;6;403.26
IN-2013-48184;NM-18445;FUR-CH-10003616;138132;3;403.15
IT-2011-4771701;TW-21025;FUR-BO-10004999;1181547;3;401.25
IT-2011-2876489;RB-19330;FUR-CH-10000479;1696248;4;401.13
CA-2014-133865;PS-19045;TEC-CO-10001046;3359952;6;400.6
CA-2014-158379;JA-15970;OFF-SU-10002881;4663736;7;400.04
SF-2014-2330;AB-60;OFF-HOO-10000318;123756;4;400.03
EG-2012-4640;JR-5670;TEC-NOK-10001283;12747;2;399.96
MX-2011-138002;MD-17350;OFF-AP-10000407;317214;9;399.85
US-2014-102183;PK-19075;OFF-BI-10001359;4305552;6;398.64
ES-2012-5113958;EB-13840;OFF-AP-10004512;397929;7;398.5
CA-2014-120376;TP-21130;FUR-CH-10002335;158669;7;397.52
CA-2014-168109;JK-15640;TEC-MA-10001148;23952;6;396.92
CA-2014-111556;CD-11920;TEC-PH-10001459;125997;3;394.57
AJ-2013-2640;JL-5835;FUR-BAR-10004434;2058;4;393.62
IN-2011-67651;EP-13915;FUR-BO-10002444;25398765;7;393.58
ES-2014-4957212;MS-17770;FUR-BO-10004709;289821;7;393.46
IT-2011-3528798;CM-12655;TEC-MA-10004772;13200075;5;390.2
LH-2014-5390;JC-6105;FUR-BAR-10003532;217116;8;390.09
IN-2014-32588;GB-14530;TEC-CO-10002911;4448223;13;386.38
CA-2012-137113;TW-21025;FUR-TA-10001705;19134;9;386.21
US-2011-161760;JH-16180;TEC-PH-10000169;2300616;9;386
EG-2013-4530;MT-8070;FUR-SAU-10004653;261594;6;384.41
IN-2011-51964;AB-10105;TEC-CO-10002526;106668;3;383.68
CA-2013-122903;LA-16780;FUR-CH-10002024;35049;5;383.35
LT-2011-270;CV-2805;TEC-NOK-10004339;25446;4;383.01
IN-2011-86278;NH-18610;FUR-TA-10000022;369468;4;382.77
ID-2013-17055;HJ-14875;FUR-TA-10002153;2214849;7;382.1
MX-2013-151764;JL-15175;FUR-CH-10000843;123648;4;381.22
MX-2014-124744;MY-18295;OFF-AP-10002681;18059;5;381.14
US-2011-106992;SB-20290;TEC-MA-10000822;3059982;3;380.77
CA-2014-168109;JK-15640;TEC-AC-10002049;16878;4;379.56
CA-2011-117639;MW-18235;OFF-BI-10003925;271593;7;378.83
MX-2014-140305;KC-16540;OFF-AP-10004627;18103;5;378.26
MX-2014-113845;CS-12460;TEC-PH-10001076;21205;5;377.7
IN-2014-61932;HA-14920;TEC-PH-10001457;1275;2;377.58
ES-2012-4589770;MT-17815;TEC-MA-10004534;1593648;7;377.03
ES-2014-1331794;FW-14395;FUR-BO-10003991;1114236;3;376.88
ES-2012-4621754;BH-11710;TEC-PH-10002623;294408;5;376.58
ID-2014-41191;DK-12895;OFF-AP-10002793;33092598;7;374.8
MX-2014-128405;KD-16270;FUR-CH-10002093;89748;9;374.38
ES-2011-1858721;SC-20845;FUR-BO-10003103;205605;5;372.5
MX-2012-168865;CY-12745;TEC-CO-10001818;23656592;10;372.32
IN-2011-52279;HL-15040;TEC-CO-10002040;1336356;7;371.74
IN-2012-14724;CT-11995;TEC-CO-10001654;303864;8;371.51
ES-2013-3042991;CC-12370;OFF-AP-10002397;269865;9;369.98
LT-2013-3900;GR-4560;TEC-CAN-10001853;379908;12;369.73
IN-2012-18518;TT-21070;FUR-CH-10001207;275634;6;369.4
IT-2012-4058325;PO-19195;TEC-PH-10002597;98388;8;369.17
IN-2012-42220;ED-13885;FUR-CH-10003232;1719807;5;368.44
IN-2014-17972;AP-10915;OFF-AP-10003917;1421541;3;367.57
MX-2014-151554;TM-21490;TEC-CO-10002617;10536884;5;367.55
IT-2011-3270900;AW-10840;TEC-CO-10000556;144084;8;367.35
IN-2011-28087;DP-13105;FUR-CH-10003232;2544372;6;366.89
CA-2012-123113;AT-10735;OFF-AP-10000275;262512;8;366.72
RO-2012-9480;SG-10605;TEC-HEW-10003460;155448;8;366.58
MX-2013-109981;BM-11785;TEC-PH-10004196;1278;3;365.9
MX-2012-130351;FH-14365;TEC-PH-10002672;347408;8;365.65
MX-2012-135076;DK-13375;TEC-PH-10000106;2550;6;365.2
CA-2013-114972;PF-19225;OFF-AP-10003057;110148;4;364.76
CA-2013-146633;TG-21310;OFF-BI-10003527;1016792;1;363.87
CA-2013-110499;YC-21895;TEC-CO-10002095;1199976;3;363.78
TU-2012-2690;SF-10200;TEC-SAM-10000345;934248;14;363.73
CA-2014-166709;HL-15040;TEC-CO-10004722;1049997;3;363.19
SG-2014-9460;JW-5220;TEC-CIS-10002259;390888;6;363.16
MX-2014-164217;CC-12100;TEC-PH-10004182;21423;5;363.1
ID-2014-80657;RD-19930;OFF-AP-10004350;1900584;6;360.04
CM-2012-6440;BP-1230;OFF-HOO-10000335;184068;6;359.58
ES-2011-5287434;SA-20830;FUR-BO-10004129;262404;6;359.28
IN-2012-79439;EM-13810;FUR-BO-10001372;30765;7;359.27
IN-2013-58929;CS-12175;TEC-PH-10004664;31817718;6;359.09
IT-2012-2646674;JD-16060;OFF-ST-10004597;1392633;11;358.96
IN-2011-63577;GH-14665;FUR-CH-10001664;129624;8;358.85
IN-2014-16068;CM-11935;OFF-AP-10003240;168291;3;358.51
MX-2011-150973;JB-16000;TEC-PH-10004196;1278;3;358.18
RS-2014-4120;RB-9465;TEC-MOT-10003348;257076;4;357.89
MX-2014-154935;RB-19795;FUR-TA-10000136;233296;5;357.79
ID-2012-83604;PO-19195;FUR-BO-10002866;15822;6;357.21
US-2014-117723;DL-13495;OFF-ST-10004459;1801632;6;356.88
IN-2013-81112;TS-21205;FUR-TA-10001276;1512;6;356.84
CA-2013-147368;TC-21295;TEC-MA-10002178;6957;2;356.68
SF-2014-3560;MV-8190;TEC-APP-10002966;2550;4;355.92
CA-2012-147830;NF-18385;TEC-AC-10002049;202536;6;355.61
ES-2012-1439357;BD-11560;FUR-CH-10000685;22857;5;355.06
IN-2014-16054;PS-18760;FUR-BO-10001541;10292589;9;354.47
US-2014-148817;FM-14215;TEC-CO-10003931;10582792;5;354.42
IN-2013-50809;CA-12775;TEC-PH-10000169;575154;9;353.85
ES-2013-1211534;CD-12790;FUR-BO-10001553;2442069;7;353.57
IN-2014-81154;NL-18310;OFF-ST-10004748;119052;6;353.42
IT-2014-2009199;TB-21055;OFF-AP-10000540;3150819;7;353.04
ES-2014-1972860;NF-18475;TEC-CO-10004567;15999;5;352.79
IN-2014-51432;KD-16495;FUR-BO-10001749;20634;5;352.64
HU-2014-7310;EH-4125;OFF-ROG-10003898;12699;6;352.52
IN-2011-26176;KB-16600;FUR-BO-10001934;327402;9;351.08
MX-2014-113845;CS-12460;TEC-PH-10002815;84832;2;351.07
CA-2012-102491;KW-16435;TEC-MA-10000864;3080;7;351.01
ES-2014-5345830;MG-17695;TEC-CO-10002663;284736;8;350.68
ID-2014-58271;VF-21715;FUR-CH-10000602;172575;5;350.68
ID-2013-57949;AM-10705;TEC-CO-10001419;14793138;6;350.31
US-2012-128587;HM-14860;TEC-CO-10003763;489993;7;350.09
IN-2014-68750;BP-11290;TEC-CO-10000679;128223;9;349.88
AO-2011-1670;HZ-4950;FUR-IKE-10001539;24786;6;349.87
CA-2013-118689;TC-20980;TEC-CO-10004722;1749995;5;349.07
IN-2013-42535;EM-13825;TEC-CO-10002376;95976;3;348.48
CA-2012-124891;RH-19495;FUR-TA-10002903;1090782;7;348.18
IN-2014-27947;BS-11800;OFF-AP-10000136;4135641;10;348.08
MX-2011-158204;DV-13465;FUR-BO-10000567;232528;8;347.82
IN-2014-56206;MB-17305;FUR-BO-10001471;548667;14;346.6
IT-2011-3316894;PC-19000;OFF-ST-10001758;1523664;8;345.81
IT-2014-2819680;CA-12310;TEC-PH-10004505;16252425;3;345.78
US-2013-138408;KC-16255;TEC-AC-10003870;131996;4;345.77
ES-2014-2179863;MB-18085;OFF-ST-10004191;73494;4;344.98
US-2014-110576;RB-19795;FUR-TA-10004154;206532;12;344.98
RO-2012-8470;DB-3660;FUR-OFF-10001224;139152;8;344.5
CA-2012-111514;SC-20260;FUR-BO-10002545;1552831;7;343.97
MX-2012-157987;BG-11740;OFF-AP-10004913;246106;7;343.81
US-2014-105935;BD-11500;TEC-PH-10001459;293993;7;343.25
CA-2011-139892;BM-11140;TEC-MA-10000822;8159952;8;342.11
IN-2012-45825;KB-16315;TEC-MA-10002392;122619;7;340.09
ID-2013-58642;PK-19075;FUR-TA-10003222;1809255;5;339.47
ID-2012-65411;CS-12175;TEC-AC-10000639;1863;8;339.06
CA-2011-144624;JM-15865;TEC-PH-10002885;454881;7;338.56
ES-2014-4032097;AF-10885;OFF-ST-10002900;1244187;7;338.33
ES-2012-4108483;SJ-20500;FUR-TA-10003354;2364102;4;338.1
ES-2013-5810502;DM-12955;TEC-CO-10003800;1946313;6;337.93
CA-2014-138149;WB-21850;OFF-BI-10003091;89592;5;337.16
IT-2012-3796476;CC-12610;OFF-AP-10001527;2283714;9;337.07
CG-2012-8310;BW-1065;TEC-SAM-10004940;254976;4;336.65
IN-2014-39735;BE-11455;TEC-CO-10003777;3299562;14;336.02
ES-2012-4272278;TG-21640;OFF-AP-10001169;24894;9;335.95
CA-2013-107104;MS-17365;FUR-BO-10002213;3406664;8;335.64
CA-2012-156104;NP-18685;TEC-CO-10002095;99998;2;334.26
ES-2014-4856325;VM-21685;FUR-BO-10000120;1189242;9;334.23
CA-2014-145219;RM-19675;TEC-CO-10001449;2879952;6;334.15
MX-2014-120026;SC-20695;FUR-CH-10002033;12696;4;333.15
ID-2013-12295;SN-20560;TEC-PH-10002991;3499155;11;333.1
ID-2013-10636;CD-12280;FUR-TA-10000989;2993025;5;333.06
ES-2014-5554891;CC-12100;TEC-CO-10004567;815949;3;333.02
ES-2012-5464624;BG-11035;TEC-MA-10004609;1245;4;332.96
IN-2014-59426;CC-12550;TEC-CO-10003448;1027728;8;332.2
IN-2014-59202;AB-10105;TEC-CO-10003496;1703025;5;332.14
IN-2014-44257;SV-20785;OFF-ST-10003150;18030837;11;332.13
ES-2014-3860822;HW-14935;FUR-BO-10004947;676485;5;330.51
IN-2011-23530;AS-10285;FUR-CH-10004694;96936;7;330.01
ES-2014-5991471;LD-16855;FUR-BO-10000490;163701;5;329.73
MX-2014-127656;NS-18505;TEC-CO-10001818;165596144;7;329.58
MX-2013-154886;CM-12715;FUR-CH-10004669;97696;4;328.66
IN-2013-36963;VG-21805;FUR-BO-10001196;73134;2;328.35
GH-2014-6410;JD-6060;OFF-KIT-10001380;1239;4;327.94
ID-2014-41597;MG-17680;FUR-CH-10003616;1680606;5;327.81
IN-2014-47449;CD-12280;FUR-BO-10000288;219075;5;327.55
ES-2014-4622860;DB-13210;TEC-MA-10000753;935172;4;327.11
ES-2014-2538638;CS-11860;OFF-ST-10000624;102696;8;326.35
IN-2014-32084;AF-10885;TEC-PH-10001457;2550;4;326.32
ES-2012-3954494;GG-14650;TEC-CO-10000556;1224714;4;326.27
ID-2012-79551;BN-11470;TEC-PH-10002601;2667537;5;326.27
ES-2013-2757712;EM-14065;TEC-PH-10002759;260592;4;326.05
IR-2013-1770;BS-1665;OFF-ROG-10001735;296268;14;325.93
IN-2014-13597;AC-10450;FUR-TA-10002256;2664;5;325.54
ES-2012-5967582;CK-12205;TEC-CO-10001413;151356;4;325.45
ES-2013-1215823;JD-16150;FUR-BO-10003103;123363;3;325.32
UP-2011-5440;CC-2550;FUR-LES-10002026;85515;1;325.04
IT-2011-1646767;MS-17830;TEC-MA-10001777;95634;4;324.98
CA-2011-122931;SM-20950;OFF-ST-10004459;1801632;6;324.93
